,sample,dynamic_UQ,dynamic_cov,dynamic_cdspct,dynamic_min,dynamic_max,read_pct_analysis_dynamic,UQ_dedup_old,cov_dedup,cov_deu_group,UQ_dedup_new,UQ_dedup_old_class,UQ_dedup_new_class,CDS_network_PCT_L23-36,cancer.CDS_alignment,CDS_network_PCT_old.L28.36.,study_id,cellline,type,digestion
702,GSM4256670,0,0.002170425,0.832858,20,35,0.866315443,0,0.00244608,extra_low,0,below 10,below 10,0.829040923,0.831371,0.575883904,GSE143301,HELA,Cervix_cancer,RNAse I
703,GSM4258309,0,0.019367366,0.72195,32,37,0.861375374,0,0.022039571,extra_low,0,below 10,below 10,0.938452428,0.717947,0.928246433,GSE143393,U2392,lymphoma,RNAse I
24,GSM1279709,2,0.043321656,0.837069,23,30,0.88253037,1,0.047843322,extra_low,2,below 10,below 10,0.927931343,0.822416,0.530881374,GSE52976,HELA,Cervix_cancer,RNAse I
334,GSM2602085,3,0.082316792,0.853747,24,33,0.877617227,2,0.091853818,extra_low,3,below 10,below 10,0.946490507,0.830196,0.653004577,GSE98623,MOLM13,Leukemia,Mnase
335,GSM2602086,3,0.078011172,0.857927,23,32,0.870579593,2,0.088302592,extra_low,3,below 10,below 10,0.941256898,0.833755,0.619370272,GSE98623,MOLM13,Leukemia,Mnase
336,GSM2602087,3,0.078640106,0.857318,23,32,0.873958353,2,0.088749282,extra_low,3,below 10,below 10,0.942219185,0.834975,0.608566945,GSE98623,MOLM13,Leukemia,Mnase
504,GSM3395014,3,0.089578952,0.825933,20,40,0.762327022,2,0.107786172,extra_low,3,below 10,below 10,0.671792085,0.802212,0.404918184,GSE120159,PANC1,pancreatic_cancer,RNAse I
709,GSM4258315,3,0.105718137,0.776196,29,37,0.852839047,3,0.119089357,extra_low,4,below 10,below 10,0.927097038,0.758964,0.876710865,GSE143393,U2392,lymphoma,RNAse I
753,GSM4475945,3,0.091405492,0.695398,28,34,0.850729817,3,0.103384109,extra_low,3,below 10,below 10,0.962168033,0.681953,0.884275746,GSE148636,NCI-H1650,lung_cancer,RNAse I
801,GSM4715688,3,0.072208151,0.919536,20,31,0.851048022,1,0.084436468,extra_low,3,below 10,below 10,0.822834745,0.893691,0.510297071,GSE155917,tissue,melanoma,Nuclease
163,GSM1704544,4,0.124218849,0.862905,27,38,0.858914912,4,0.13974334,extra_low,4,below 10,below 10,0.845659507,0.849587,0.783855358,GSE69602,huh7,liver_cancer,Mnase
185,GSM1704590,4,0.117304379,0.898906,23,36,0.857422165,3,0.131049422,extra_low,4,below 10,below 10,0.895115578,0.875788,0.681165033,GSE69602,huh7,liver_cancer,Mnase
502,GSM3395012,4,0.096046524,0.847949,20,40,0.782299968,2,0.113539366,extra_low,3,below 10,below 10,0.676057157,0.831079,0.404928096,GSE120159,PANC1,pancreatic_cancer,RNAse I
707,GSM4258313,4,0.132443126,0.773868,30,37,0.865389687,4,0.148396766,extra_low,5,below 10,below 10,0.934327741,0.761954,0.900663206,GSE143393,U2392,lymphoma,RNAse I
136,GSM1704517,5,0.124863154,0.833056,29,36,0.886223002,5,0.140317958,extra_low,5,below 10,below 10,0.919418582,0.829496,0.90479076,GSE69602,huh7,liver_cancer,Mnase
162,GSM1704543,5,0.167319761,0.870869,26,40,0.875123676,3,0.181721476,extra_low,4,below 10,below 10,0.719926255,0.860647,0.639540916,GSE69602,huh7,liver_cancer,Mnase
165,GSM1704546,5,0.144006476,0.85,27,38,0.863245291,5,0.161703562,extra_low,5,below 10,below 10,0.852971583,0.836503,0.780144527,GSE69602,huh7,liver_cancer,Mnase
505,GSM3395015,5,0.125759418,0.809088,20,40,0.794958158,2,0.146611194,extra_low,4,below 10,below 10,0.729593747,0.794037,0.450488436,GSE120159,PANC1,pancreatic_cancer,RNAse I
611,GSM3944612,5,0.11895254,0.829751,23,31,0.861809654,4,0.133598159,extra_low,6,below 10,below 10,0.913866923,0.723509,0.70019476,GSE134380,HELA,Cervix_cancer,RNAse I
708,GSM4258314,5,0.165939347,0.758361,31,37,0.860929206,5,0.187861425,extra_low,6,below 10,below 10,0.937722169,0.750652,0.90944488,GSE143393,U2392,lymphoma,RNAse I
712,GSM4258318,5,0.132550569,0.772938,30,36,0.869290103,5,0.149673929,extra_low,5,below 10,below 10,0.974589992,0.768288,0.94646967,GSE143393,U2392,lymphoma,RNAse I
714,GSM4258320,5,0.156665875,0.778214,29,36,0.883599718,6,0.173911098,extra_low,6,below 10,below 10,0.968932023,0.769619,0.928897635,GSE143393,U2392,lymphoma,RNAse I
776,GSM4485599,5,0.116980443,0.682626,20,40,0.815347402,4,0.13128396,extra_low,4,below 10,below 10,0.788409981,0.64257,0.720054313,GSE141459,HELA,Cervix_cancer,RNAse I
8,GSM1184602,6,0.164311253,0.777537,27,33,0.88164519,6,0.183785974,extra_low,6,below 10,below 10,0.987178,0.75848,0.881934526,GSE48785,MM1.S,myeloma,RNAse I
